Record 693b1a47cee236f3297cd163: AssetID=asset-EILT0197, Evidence=362, Status=OK
Record 693b1a47cee236f3297cd164: AssetID=asset-EILT0197, Evidence=712, Status=OK
Record 693b1a47cee236f3297cd165: AssetID=asset-EILT0197, Evidence=362, Status=OK
Record 693b1a47cee236f3297cd166: AssetID=asset-EILT0197, Evidence=362, Status=OK
Record 693b288bcee236f3297cd167: AssetID=asset-EILT0197, Evidence=633, Status=OK
Record 693b288bcee236f3297cd168: AssetID=asset-EILT0197, Evidence=350, Status=OK
Record 693b288bcee236f3297cd169: AssetID=asset-EILT0197, Evidence=350, Status=OK
Record 693b288bcee236f3297cd16a: AssetID=asset-EILT0197, Evidence=983, Status=OK
Record 693b288bcee236f3297cd16b: AssetID=asset-EILT0197, Evidence=350, Status=OK
Record 693b288bcee236f3297cd16c: AssetID=asset-EILT0197, Evidence=350, Status=OK
Record 693b288bcee236f3297cd16d: AssetID=asset-EILT0197, Evidence=350, Status=OK
Record 693b288bcee236f3297cd16e: AssetID=asset-EILT0197, Evidence=350, Status=OK
Record 693b3cffcee236f3297cd16f: AssetID=asset-EILT0197, Evidence=283, Status=OK
Record 693b3cffcee236f3297cd170: AssetID=asset-EILT0197, Evidence=283, Status=OK
Record 693b3cffcee236f3297cd171: AssetID=asset-EILT0197, Evidence=283, Status=OK
Record 693b3cffcee236f3297cd172: AssetID=asset-EILT0197, Evidence=283, Status=OK
Record 693b3cffcee236f3297cd173: AssetID=asset-EILT0197, Evidence=283, Status=OK
Record 693b3cffcee236f3297cd174: AssetID=asset-EILT0197, Evidence=283, Status=OK
Record 693b3cffcee236f3297cd175: AssetID=asset-EILT0197, Evidence=283, Status=OK
Record 693b3cffcee236f3297cd176: AssetID=asset-EILT0197, Evidence=283, Status=OK
Record 693c6b6029a992452826f8a7: AssetID=asset-EILT0197, Evidence=4, Status=OK
Record 693c6b6029a992452826f8a8: AssetID=asset-EILT0197, Evidence=3, Status=OK
Record 693c6b6029a992452826f8a9: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 693c6b6029a992452826f8aa: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 693c6b6029a992452826f8ab: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 693c6b6029a992452826f8ac: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 693c6b6029a992452826f8ad: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 693c6b6029a992452826f8ae: AssetID=asset-EILT0197, Evidence=4, Status=OK
Record 693c6b6029a992452826f8af: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 693c6b6029a992452826f8b0: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 693c6b6029a992452826f8b1: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 693c6b6029a992452826f8b2: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 693c6b6029a992452826f8b3: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 693c6b6029a992452826f8b4: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce7870fd: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce7870fe: AssetID=asset-EILT0197, Evidence=6, Status=OK
Record 695806b0621b8382ce7870ff: AssetID=asset-EILT0197, Evidence=4, Status=OK
Record 695806b0621b8382ce787100: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 695806b0621b8382ce787101: AssetID=asset-EILT0197, Evidence=3, Status=OK
Record 695806b0621b8382ce787102: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 695806b0621b8382ce787103: AssetID=asset-EILT0197, Evidence=2, Status=OK
