Control ID,Name,Category,Status,Evidence Count,Collected Evidence,Last Reviewed
A.5.1,Policies for Information Security,Organizational,Implemented,0,None,2023-08-15
A.5.2,Information Security Roles,Organizational,Implemented,0,None,2023-08-16
A.5.3,Segregation of Duties,Organizational,Implemented,0,None,2023-08-17
A.5.4,Management Responsibilities,Organizational,Implemented,0,None,2023-08-18
A.5.7,Threat Intelligence,Organizational,At Risk,0,None,2023-08-20
A.5.15,Access Control,Organizational,Implemented,5,"Admin Check: Guest Account Disabled, System Check: Password Policy (Min Length), System Check: Guest Account Disabled, System Check: RDP NLA Required, System Check: User Access Control, System Check: Account Lockout Policy, System Check: Credential Guard, System Check: Local Administrator Auditing, System Check: Password Policy (Min Length), System Check: Guest Account Disabled, System Check: RDP NLA Required, System Check: User Access Control, System Check: Account Lockout Policy, System Check: Credential Guard, System Check: Local Administrator Auditing, Admin Check: Guest Account Disabled, Admin Check: Guest Account Disabled, System Check: Password Policy (Min Length), System Check: Guest Account Disabled, System Check: RDP NLA Required, System Check: User Access Control, System Check: Account Lockout Policy, System Check: Credential Guard, System Check: Local Administrator Auditing",2026-05-15
A.5.20,Addressing Information Security within Supplier Relationships,Organizational,In Progress,0,None,2023-08-28
A.5.24,Information Security Incident Management Planning,Organizational,Implemented,0,None,2023-08-30
A.6.1,Screening,People,Implemented,0,None,2023-09-01
A.6.3,Information Security Awareness,People,Implemented,0,None,2023-09-02
A.6.6,Confidentiality or Non-Disclosure Agreements,People,Implemented,0,None,2023-09-05
A.6.8,Information Security Event Reporting,People,Implemented,0,None,2023-09-06
A.7.1,Physical Security Perimeters,Physical,Implemented,0,None,2023-09-10
A.7.2,Physical Entry Controls,Physical,Implemented,0,None,2023-09-11
A.7.10,Storage Media,Physical,Implemented,3,"System Check: USB Mass Storage Access, System Check: USB Mass Storage Access, System Check: USB Mass Storage Access",2023-09-15
A.7.12,Cabling Security,Physical,Not Implemented,0,None,2023-09-18
